father,sun,fatherthrow,sunthrow,fathercatch,cancallfather,cancallsun,suncanseefather,fathercanseesun,result
none,ss,true,true,false,true,true,true,true,one|two
none,ss,true,false,null,true,true,true,true,one|two
none,mt,true,true,true,true,false,null,false,one
none,rn,true,true,true,true,true,true,false,one
none,rn,true,true,false,true,true,true,false,one
none,rn,true,false,null,true,true,true,true,one|two
none,ns,true,true,true,true,true,true,true,one|two
none,ns,true,true,false,true,true,true,true,one|two
none,ns,true,false,null,true,true,true,true,one|two
none,nr,true,true,true,true,true,true,true,one|two
none,nr,true,true,false,true,true,true,true,one|two
none,nr,true,false,null,true,true,true,true,one|two
none,ne,true,true,true,true,true,true,false,one
none,ne,true,true,false,true,true,true,false,one
none,ne,true,false,null,true,true,true,true,one|two
none,none,true,true,true,true,true,true,true,one|two
none,none,true,true,false,true,true,true,true,one|two
none,none,true,false,null,true,true,true,true,one|two
none,rd,false,true,true,true,true,true,false,one
none,rd,false,true,false,true,true,true,false,one
none,rd,false,false,null,true,true,true,true,one|two
none,ss,false,true,true,true,true,true,true,one|two
none,ss,false,true,false,true,true,true,true,one|two
none,ss,false,false,null,true,true,true,true,one|two
none,mt,false,true,true,true,false,null,false,one
none,rn,false,true,true,true,true,true,false,one
none,rn,false,true,false,true,true,true,false,one
none,rn,false,false,null,true,true,true,true,one|two
none,ns,false,true,true,true,true,true,true,one|two
none,ns,false,true,false,true,true,true,true,one|two
none,ns,false,false,null,true,true,true,true,one|two
none,nr,false,true,true,true,true,true,true,one|two
none,nr,false,true,false,true,true,true,true,one|two
none,nr,false,false,null,true,true,true,true,one|two
none,ne,false,true,true,true,true,true,false,one
none,ne,false,true,false,true,true,true,false,one
none,ne,false,false,null,true,true,true,true,one|two
none,none,false,true,true,true,true,true,true,one|two
none,none,false,true,false,true,true,true,true,one|two
none,none,false,false,null,true,true,true,true,one|two
